width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
480,0.6,0,33,12896,True,247.0,3,244,244,3.0,1,
480,0.6,0,34,13778,True,248.9,4,245,245,3.9,1,
480,0.6,0,35,12957,True,288.5,3,286,286,2.5,1,
480,0.6,0,36,12729,True,246.8,2,244,244,2.8,1,
480,0.6,0,37,12516,True,247.3,3,244,244,3.3,1,
480,0.6,0,38,12044,True,252.4,5,248,248,4.4,1,
480,0.6,0,39,12818,True,243.2,3,240,240,3.2,1,
480,0.6,0,40,12138,True,256.4,3,253,254,2.4,1,
480,0.6,0,41,12680,True,256.7,3,254,254,2.7,1,
480,0.6,0,42,12491,True,251.1,3,248,248,3.1,1,
480,0.6,0,43,12636,True,361.5,3,359,359,2.5,2,
480,0.6,0,44,13279,True,263.5,3,261,261,2.5,1,
480,0.6,0,45,13654,True,258.9,3,256,256,2.9,2,
480,0.6,0,46,12912,True,245.9,3,243,243,2.9,1,
480,0.6,0,47,13846,True,254.7,2,252,252,2.7,1,
480,0.6,0,48,13246,True,346.3,4,342,342,4.3,2,
480,0.6,0,49,14239,True,247.4,4,243,243,4.4,0,
480,0.6,0,50,14553,True,281.1,6,277,277,4.1,0,
480,0.6,0,51,14703,True,426.3,3,423,423,3.3,0,
480,0.6,0,52,17205,True,242.0,3,239,239,3.0,0,
480,0.6,0,53,13069,True,256.4,3,254,254,2.4,0,
480,0.6,0,54,12948,True,259.8,2,257,257,2.8,0,
480,0.6,0,55,17821,True,274.9,3,271,271,3.9,0,
480,0.6,0,56,16665,True,262.0,3,259,259,3.0,0,
480,0.6,0,57,18316,True,270.8,3,268,268,2.8,0,
480,0.6,0,58,18541,True,254.8,3,252,252,2.8,0,
480,0.6,0,59,18222,True,247.2,3,244,244,3.2,0,
480,0.6,0,60,18729,True,242.5,3,239,239,3.5,0,
480,0.6,0,61,18148,True,260.5,2,258,258,2.5,0,
480,0.6,0,62,18026,True,239.1,4,236,236,3.1,0,
480,0.6,0,63,15482,True,255.6,3,253,253,2.6,0,
480,0.6,0,64,16857,True,252.0,3,249,249,3.0,0,
480,0.85,0,5,27554,True,255.8,4,252,252,3.8,0,
480,0.85,0,6,28466,True,247.3,4,243,243,4.3,1,
480,0.85,0,7,35172,True,249.8,5,245,245,4.8,0,
